Gene_A	Gene_B	Score
IGF2BP3	DEPDC1	0.479
IGF2BP3	KIF14	0.482
IGF2BP3	LY6K	0.624
IGF2BP3	TTK	0.691
IGF2BP3	HMGA2	0.909
IGF2BP3	IGF2BP1	0.984
IL36G	SPRR2D	0.403
IL36G	KRT16	0.419
IL36G	SPRR1A	0.439
IL36G	LCE3D	0.522
IL36G	SERPINB4	0.532
IL36G	S100A7A	0.545
IL36G	S100A7	0.574
IL36G	IL36RN	0.864
IL36RN	S100A7A	0.413
IL36RN	IVL	0.415
IL36RN	CRCT1	0.425
IL36RN	S100A7	0.484
IL36RN	LCE3D	0.56
IL36RN	IL1RAPL2	0.575
C6orf15	H3C12	0.413
C6orf15	KPRP	0.505
MMP13	COL7A1	0.506
MMP13	MMP12	0.539
MMP13	MMP3	0.557
MMP13	COL11A1	0.609
MMP13	PTHLH	0.626
MMP13	MMP10	0.66
MMP13	MMP1	0.674
GPR87	CLCA2	0.404
GPR87	ADGRF4	0.414
GPR87	KRT6A	0.425
SLCO1B3	FOXM1	0.42
SLCO1B3	SLC15A1	0.492
SLCO1B3	UGT1A7	0.655
SLCO1B3	UGT1A6	0.685
SLCO1B3	UGT1A1	0.877
LHX5	DLX5	0.402
LHX5	FOXD3	0.406
LHX5	TLX3	0.438
LHX5	ZIC2	0.479
LHX5	FEZF1	0.551
CHRNB4	SLC18A3	0.433
FAT2	SERPINB13	0.408
FAT2	GJB5	0.479
FAT2	PKP1	0.561
PKMYT1	HJURP	0.404
PKMYT1	NUF2	0.406
PKMYT1	TPX2	0.416
PKMYT1	SKA1	0.417
PKMYT1	KIF4A	0.424
PKMYT1	TEDC2	0.448
PKMYT1	PBK	0.448
PKMYT1	MCM10	0.466
PKMYT1	MELK	0.472
PKMYT1	CDCA3	0.485
PKMYT1	NEK2	0.513
PKMYT1	EXO1	0.529
PKMYT1	BIRC5	0.532
PKMYT1	AURKB	0.547
PKMYT1	KIF2C	0.553
PKMYT1	GTSE1	0.572
PKMYT1	FOXM1	0.59
PKMYT1	UBE2C	0.617
PKMYT1	BUB1B	0.642
PKMYT1	RAD54L	0.683
PKMYT1	CDC45	0.736
PKMYT1	CDC25C	0.822
PKMYT1	CDC20	0.83
ATP4A	UGT1A7	0.413
ATP4A	UGT1A6	0.42
ATP4A	UGT1A1	0.42
ATP4A	CA9	0.425
ATP4A	KLK8	0.428
ATP4A	GAST	0.935
SGO1	CDC45	0.445
SGO1	TICRR	0.464
SGO1	DEPDC1B	0.482
SGO1	DEPDC1	0.498
SGO1	MCM10	0.507
SGO1	H3C12	0.512
SGO1	NEIL3	0.529
SGO1	FOXM1	0.537
SGO1	CDC25C	0.546
SGO1	UBE2C	0.575
SGO1	KIF18B	0.592
SGO1	EXO1	0.593
SGO1	GTSE1	0.597
SGO1	KIF14	0.603
SGO1	TPX2	0.611
SGO1	KIF4A	0.698
SGO1	SKA3	0.716
SGO1	CDCA3	0.717
SGO1	MELK	0.733
SGO1	ASPM	0.734
SGO1	CKAP2L	0.747
SGO1	CDCA2	0.75
SGO1	PBK	0.755
SGO1	HJURP	0.761
SGO1	BIRC5	0.775
SGO1	SKA1	0.778
SGO1	TTK	0.837
SGO1	NEK2	0.85
SGO1	NUF2	0.858
SGO1	CENPA	0.88
SGO1	KIF2C	0.928
SGO1	AURKB	0.969
SGO1	BUB1B	0.974
SGO1	CDC20	0.986
PKP1	CASP14	0.418
PKP1	GRHL3	0.421
PKP1	SERPINB3	0.436
PKP1	SERPINB13	0.441
PKP1	COL17A1	0.454
PKP1	CLCA2	0.46
PKP1	CALML3	0.464
PKP1	KRT17	0.47
PKP1	SERPINB12	0.473
PKP1	RPTN	0.53
PKP1	GJB5	0.544
PKP1	SPRR2E	0.555
PKP1	SERPINB5	0.56
PKP1	SPRR2G	0.566
PKP1	KRT16	0.576
PKP1	KRT6A	0.58
PKP1	GJB2	0.582
PKP1	TRIM29	0.583
PKP1	SPRR2D	0.613
PKP1	SPRR2A	0.618
PKP1	SPRR2F	0.618
PKP1	SPRR3	0.639
PKP1	GJB3	0.699
PKP1	SPRR1A	0.723
PKP1	SPRR1B	0.756
PKP1	IVL	0.765
PKP1	DSG4	0.803
PKP1	DSC3	0.894
NMU	GAST	0.521
NMU	NPSR1	0.607
NMU	GNG4	0.609
NMU	GAL	0.886
POLQ	SKA3	0.422
POLQ	FOXM1	0.424
POLQ	TTK	0.432
POLQ	KIF4A	0.443
POLQ	E2F7	0.467
POLQ	KIF2C	0.474
POLQ	KIF14	0.493
POLQ	CKAP2L	0.494
POLQ	MELK	0.499
POLQ	RAD54L	0.504
POLQ	BUB1B	0.508
POLQ	ASPM	0.533
POLQ	HJURP	0.546
POLQ	TICRR	0.565
POLQ	MCM10	0.589
POLQ	CDC45	0.613
POLQ	NEIL3	0.755
POLQ	EXO1	0.805
UPK1B	SERPINB3	0.405
UPK1B	SERPINB4	0.411
UPK1B	SERPINB13	0.423
UPK1B	KRT6A	0.429
UPK1B	COL7A1	0.437
UPK1B	PTPRH	0.451
UPK1B	BNC1	0.469
NEIL3	UBE2C	0.4
NEIL3	TICRR	0.408
NEIL3	CKAP2L	0.413
NEIL3	AURKB	0.413
NEIL3	FOXM1	0.414
NEIL3	E2F7	0.42
NEIL3	TPX2	0.465
NEIL3	CDC20	0.476
NEIL3	SKA3	0.503
NEIL3	ASPM	0.509
NEIL3	H2BC9	0.517
NEIL3	H2BC17	0.522
NEIL3	CDC25C	0.525
NEIL3	H2AC8	0.525
NEIL3	CENPA	0.537
NEIL3	DEPDC1B	0.538
NEIL3	KIF18B	0.544
NEIL3	NUF2	0.549
NEIL3	RAD54L	0.55
NEIL3	PBK	0.557
NEIL3	KIF2C	0.558
NEIL3	SKA1	0.565
NEIL3	CDCA3	0.568
NEIL3	HJURP	0.574
NEIL3	KIF14	0.61
NEIL3	CDC45	0.614
NEIL3	MCM10	0.618
NEIL3	TTK	0.63
NEIL3	BUB1B	0.637
NEIL3	NEK2	0.704
NEIL3	MELK	0.712
NEIL3	DEPDC1	0.712
NEIL3	BIRC5	0.724
NEIL3	KIF4A	0.75
NEIL3	EXO1	0.85
DEPDC1B	TICRR	0.412
DEPDC1B	KIF18B	0.413
DEPDC1B	CDC45	0.426
DEPDC1B	FAM72B	0.428
DEPDC1B	GTSE1	0.44
DEPDC1B	CDC25C	0.482
DEPDC1B	EXO1	0.497
DEPDC1B	FOXM1	0.508
DEPDC1B	HJURP	0.526
DEPDC1B	CDC20	0.534
DEPDC1B	UBE2C	0.537
DEPDC1B	SKA1	0.54
DEPDC1B	CDCA3	0.566
DEPDC1B	KIF4A	0.597
DEPDC1B	CENPA	0.597
DEPDC1B	SKA3	0.601
