Gene	Degree	Status	logFC	isTop10	isKeyGene
HOXC13	3	Upregulated	0.85143332442867	No	No
CEACAM8	3	Downregulated	-0.569674285284761	No	No
HBA2	3	Downregulated	-0.502870407010579	No	No
SYT4	3	Downregulated	-0.53228355218644	No	No
IL36RN	3	Upregulated	0.731587162164995	No	No
NEIL3	3	Upregulated	0.526589724029306	No	No
PITX1	3	Upregulated	0.679923029148622	No	No
SFRP5	3	Downregulated	-0.536425222276074	No	No
CA4	3	Downregulated	-0.733742954620998	No	No
GPD1	3	Downregulated	-0.545381870122474	No	No
TUBB3	3	Upregulated	0.538770506290854	No	No
HTR3C	3	Downregulated	-0.771975202678933	No	No
KCNA4	3	Downregulated	-0.76403484696411	No	No
GKN2	3	Downregulated	-0.787098459638115	No	No
FREM3	3	Downregulated	-0.739944551261287	No	No
TEKT1	3	Downregulated	-0.507369599471398	No	No
CYP1A2	3	Downregulated	-0.7961519339725	No	No
TRIM58	3	Downregulated	-0.517992780379882	No	No
FOXE1	3	Upregulated	0.681893165062402	No	No
PRAME	3	Upregulated	0.849934342011569	No	Yes
PITX2	3	Upregulated	0.867038145989955	No	No
PCSK2	3	Downregulated	-0.508213093954021	No	No
CYP17A1	3	Downregulated	-0.52650771932859	No	No
CA9	3	Upregulated	0.640856659421313	No	Yes
STRA6	3	Upregulated	0.508586000643607	No	No
HOXC11	3	Upregulated	0.621800428334407	No	No
SERPINB5	3	Upregulated	0.64285888845274	No	No
FEZF1	3	Upregulated	0.624241347371587	No	No
RSPO1	3	Downregulated	-0.589219422251137	No	No
PI16	3	Downregulated	-0.568245261704627	No	No
GABRQ	3	Upregulated	0.580601729921014	No	No
SGCG	2	Downregulated	-0.574610600279788	No	No
C6orf118	2	Downregulated	-0.514534926405037	No	No
RBP2	2	Downregulated	-0.590804661484441	No	No
TNNC1	2	Downregulated	-0.536861629999215	No	No
NR0B2	2	Downregulated	-0.527759520511543	No	No
GPR87	2	Upregulated	0.509253563861768	No	No
LHX5	2	Upregulated	0.520545574077453	No	No
ADGRF4	2	Upregulated	0.55106332378169	No	No
ADCY8	2	Downregulated	-0.72202573018412	No	No
HOXB13	2	Upregulated	0.59427738977	No	No
IGF2BP1	2	Upregulated	0.554542768479879	No	No
PGLYRP3	2	Upregulated	0.686686651000912	No	No
CLEC3B	2	Downregulated	-0.508805183508468	No	No
NETO1	2	Upregulated	0.619282366984044	No	No
CLEC4M	2	Downregulated	-0.625838671353357	No	No
CDC25C	2	Upregulated	0.510236233311192	No	No
SCARA5	2	Downregulated	-0.518408428699681	No	No
RXRG	2	Downregulated	-0.531061821856667	No	No
MAGEA4	2	Upregulated	0.501103603668485	No	No
OTX1	2	Upregulated	0.53041143641349	No	No
CHIA	2	Downregulated	-0.514532663306424	No	No
GABRA3	2	Upregulated	0.767358767813627	No	No
C1orf87	2	Downregulated	-0.628646094535826	No	No
NRG3	2	Downregulated	-0.52911757622792	No	No
TRIM71	2	Downregulated	-0.534262960975947	No	No
ANGPTL7	2	Downregulated	-0.711094179536077	No	No
ADGB	2	Downregulated	-0.514616373346501	No	No
ANKRD1	2	Downregulated	-0.673400865763072	No	No
MYH2	2	Downregulated	-0.597749357206647	No	No
H2BC9	2	Upregulated	0.57841713315882	No	No
SP8	2	Upregulated	0.604187620402969	No	No
DPP6	2	Downregulated	-0.519746268541397	No	No
GJB6	2	Upregulated	0.697403146033225	No	No
HMGA2	2	Upregulated	0.601682252289694	No	No
POU4F1	2	Upregulated	0.510212238900491	No	No
MAGEA3	2	Upregulated	0.577681938024478	No	No
OTC	1	Downregulated	-0.721909035060804	No	No
MIOX	1	Upregulated	0.518003664593834	No	No
CST4	1	Upregulated	0.515157291056797	No	No
CDH19	1	Downregulated	-0.545155044897309	No	No
ZIC5	1	Upregulated	0.583062051827668	No	No
RSPO2	1	Downregulated	-0.604195424497049	No	No
HOXA10	1	Upregulated	0.546908878658071	No	No
LY6D	1	Upregulated	0.617754209392223	No	No
LGI3	1	Downregulated	-0.63519046124431	No	No
PLA2G1B	1	Downregulated	-0.644205550907892	No	No
OVCH1	1	Downregulated	-0.65766246506372	No	No
TMEM212	1	Downregulated	-0.539876707224553	No	No
ANGPTL5	1	Downregulated	-0.516376425149286	No	No
GUCA2A	1	Downregulated	-0.623436130637848	No	No
PTPN5	1	Downregulated	-0.535481315606297	No	No
OR2W3	1	Downregulated	-0.557483216550878	No	No
OR6K3	1	Downregulated	-0.574922108207268	No	No
ZYG11A	1	Upregulated	0.669948475462043	No	No
PADI3	1	Upregulated	0.610897911960482	No	No
CCDC141	1	Downregulated	-0.500832120034536	No	No
ARSH	1	Upregulated	0.591717697391015	No	No
C8B	1	Downregulated	-0.744596740350811	No	No
CST1	1	Upregulated	0.832123161968849	No	No
MCEMP1	1	Downregulated	-0.579530034752622	No	No
IL22RA2	1	Upregulated	0.518378455736498	No	No
ODAM	1	Downregulated	-0.608962062465578	No	No
FOLR3	1	Downregulated	-0.577669305522869	No	No
RDM1	1	Upregulated	0.553951624706039	No	No
ONECUT1	1	Upregulated	0.587979922919978	No	No
SH3GL2	1	Downregulated	-0.635393314248983	No	No
HMGCS2	1	Downregulated	-0.54691365547468	No	No
IL1RAPL2	1	Upregulated	0.559806151510715	No	No
VEGFD	1	Downregulated	-0.586334177335846	No	No
FAM107A	1	Downregulated	-0.509333716740013	No	No
UPK3B	1	Downregulated	-0.511285346596541	No	No
ADGRA1	1	Downregulated	-0.504153522453223	No	No
TMPRSS11A	1	Upregulated	0.526930569928919	No	No
HOXB9	1	Upregulated	0.621104537941489	No	No
WFDC12	1	Downregulated	-0.500684398142003	No	No
PGLYRP4	1	Upregulated	0.511381959419724	No	No
DMBX1	1	Upregulated	0.686191688669734	No	No
GPIHBP1	1	Downregulated	-0.562777238363299	No	No
CMTM5	1	Downregulated	-0.502432334460789	No	No
AWAT2	1	Downregulated	-0.512746082906354	No	No
NTNG1	1	Downregulated	-0.513397782076093	No	No
TRPM8	1	Upregulated	0.543110489315721	No	No
CASKIN1	1	Upregulated	0.50118963214196	No	No
PNCK	1	Upregulated	0.508687549381717	No	No
CD5L	1	Downregulated	-0.754414877457013	No	No
ITLN2	1	Downregulated	-0.821958925171051	No	No
MUCL3	1	Downregulated	-0.51445558875452	No	No
TMEM132C	1	Downregulated	-0.658227704825042	No	No
AKR1B15	1	Upregulated	0.681268431518549	No	No
PPP2R2C	1	Upregulated	0.547841320753191	No	No
OR6N1	1	Downregulated	-0.550816048317627	No	No
DMRTA2	1	Upregulated	0.61008422545539	No	No
LHFPL3	1	Downregulated	-0.573941846247898	No	No
USH1G	1	Upregulated	0.597866585545549	No	No
PADI1	1	Upregulated	0.582316111804818	No	No
ANKRD66	1	Downregulated	-0.532694155883362	No	No
