category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	5/142	233/8790	0.0214592274678112	1.32835640452155	0.650906712136605	0.324119169780803	1	1	1301/27063/7134/6445/4620	5
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	4/142	178/8790	0.0224719101123595	1.39104288653268	0.675364835926144	0.324342400395233	1	1	284654/340419/6425/11197	4
Metabolism	Xenobiotics biodegradation and metabolism	hsa00980	Metabolism of xenobiotics by cytochrome P450	2/142	73/8790	0.0273972602739726	1.69592899864943	0.765066004263636	0.330648926848086	1	1	125/1544	2
Environmental Information Processing	Signaling molecules and interaction	hsa04060	Cytokine-cytokine receptor interaction	6/142	296/8790	0.0202702702702703	1.25475827940617	0.571312989290445	0.344768624027964	1	1	26525/5196/2662/1440/5473/56300	6
Metabolism	Lipid metabolism	hsa00592	alpha-Linolenic acid metabolism	1/142	26/8790	0.0384615384615385	2.38082340195016	0.903503194185034	0.345615847897954	1	1	5319	1
Human Diseases	Endocrine and metabolic disease	hsa04950	Maturity onset diabetes of the young	1/142	26/8790	0.0384615384615385	2.38082340195016	0.903503194185034	0.345615847897954	1	1	3175	1
Organismal Systems	Digestive system	hsa04971	Gastric acid secretion	2/142	76/8790	0.0263157894736842	1.62898443291327	0.705657528490558	0.348377076039871	1	1	810/114	2
Metabolism	Carbohydrate metabolism	hsa00650	Butanoate metabolism	1/142	27/8790	0.037037037037037	2.29264475743349	0.861967178560807	0.356218603443195	1	1	3158	1
Organismal Systems	Excretory system	hsa04966	Collecting duct acid secretion	1/142	27/8790	0.037037037037037	2.29264475743349	0.861967178560807	0.356218603443195	1	1	6521	1
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	4/142	191/8790	0.0209424083769634	1.29636457488386	0.530609551353452	0.372243724241029	1	1	5196/2792/5473/114	4
Metabolism	Carbohydrate metabolism	hsa00053	Ascorbate and aldarate metabolism	1/142	29/8790	0.0344827586206897	2.13453132588635	0.784141997323923	0.376915033335625	1	1	55586	1
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	3/142	138/8790	0.0217391304347826	1.34568279240661	0.524463312104635	0.386093546360027	1	1	995/810/114	3
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	3/142	138/8790	0.0217391304347826	1.34568279240661	0.524463312104635	0.386093546360027	1	1	3868/810/114	3
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	1/142	30/8790	0.0333333333333333	2.06338028169014	0.747572369142616	0.387014116233279	1	1	2352	1
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	3/142	139/8790	0.0215827338129496	1.33600162123822	0.511648471412676	0.390481126512664	1	1	2792/810/114	3
Organismal Systems	Digestive system	hsa04981	Folate transport and metabolism	1/142	31/8790	0.032258064516129	1.99681962744207	0.712403801704108	0.396950645399361	1	1	2352	1
Human Diseases	Cancer: overview	hsa05202	Transcriptional misregulation in cancer	4/142	198/8790	0.0202020202020202	1.25053350405463	0.456885460361856	0.397993811169238	1	1	6258/8091/3206/4314	4
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	2/142	86/8790	0.0232558139534884	1.43956763838847	0.524893941388765	0.406206207329934	1	1	779/114	2
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	2/142	87/8790	0.0229885057471264	1.42302088392424	0.508092760420803	0.411860543780349	1	1	7134/779	2
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	4/142	202/8790	0.0198019801980198	1.22577046437038	0.415961233160946	0.412640132160829	1	1	7143/859/3381/2277	4
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	2/142	89/8790	0.0224719101123595	1.39104288653268	0.475106391568474	0.423089785541249	1	1	10381/114	2
Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	2/142	89/8790	0.0224719101123595	1.39104288653268	0.475106391568474	0.423089785541249	1	1	4312/4314	2
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	3/142	150/8790	0.02	1.23802816901408	0.376767278503746	0.438156294400086	1	1	7015/6258/2255	3
Metabolism	Amino acid metabolism	hsa00350	Tyrosine metabolism	1/142	37/8790	0.027027027027027	1.67301103920822	0.525654818314839	0.453298840083017	1	1	125	1
Metabolism	Global and overview maps	hsa01250	Biosynthesis of nucleotide sugars	1/142	37/8790	0.027027027027027	1.67301103920822	0.525654818314839	0.453298840083017	1	1	55586	1
Human Diseases	Cancer: specific types	hsa05216	Thyroid cancer	1/142	37/8790	0.027027027027027	1.67301103920822	0.525654818314839	0.453298840083017	1	1	6258	1
Environmental Information Processing	Signaling molecules and interaction	hsa04518	Integrin signaling	3/142	154/8790	0.0194805194805195	1.20587159319554	0.330260423133339	0.455161228964971	1	1	7143/3381/2277	3
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	3/142	154/8790	0.0194805194805195	1.20587159319554	0.330260423133339	0.455161228964971	1	1	810/779/114	3
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	2/142	96/8790	0.0208333333333333	1.28961267605634	0.365594311041154	0.461497564800472	1	1	10683/114	2
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	2/142	96/8790	0.0208333333333333	1.28961267605634	0.365594311041154	0.461497564800472	1	1	2815/1440	2
Metabolism	Glycan biosynthesis and metabolism	hsa00520	Amino sugar and nucleotide sugar metabolism	1/142	38/8790	0.0263157894736842	1.62898443291327	0.497890803750575	0.462167978059506	1	1	27159	1
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	2/142	98/8790	0.0204081632653061	1.26329405001437	0.335853816574741	0.472199043905417	1	1	5196/5473	2
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	1/142	40/8790	0.025	1.54753521126761	0.444727603709485	0.479479878455443	1	1	212	1
Human Diseases	Cancer: specific types	hsa05219	Bladder cancer	1/142	41/8790	0.024390243902439	1.50979045001718	0.419237844644201	0.487927176427937	1	1	4312	1
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	2/142	101/8790	0.0198019801980198	1.22577046437038	0.292414549988927	0.488011773525637	1	1	810/114	2
Human Diseases	Endocrine and metabolic disease	hsa04933	AGE-RAGE signaling pathway in diabetic complications	2/142	101/8790	0.0198019801980198	1.22577046437038	0.292414549988927	0.488011773525637	1	1	177/2277	2
Human Diseases	Infectious disease: parasitic	hsa05146	Amoebiasis	2/142	102/8790	0.0196078431372549	1.21375310687655	0.278233026329827	0.49321740254925	1	1	6318/732	2
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	1/142	42/8790	0.0238095238095238	1.4738430583501	0.394421740037698	0.496238336668791	1	1	1544	1
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	2/142	103/8790	0.0194174757281553	1.20196909613018	0.264195056748692	0.498389857469627	1	1	1301/1361	2
Metabolism	Lipid metabolism	hsa00564	Glycerophospholipid metabolism	2/142	104/8790	0.0192307692307692	1.19041170097508	0.250297466521042	0.503528846015798	1	1	5319/2819	2
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	1/142	43/8790	0.0232558139534884	1.43956763838847	0.370242645127617	0.504415537879701	1	1	125	1
Organismal Systems	Digestive system	hsa04975	Fat digestion and absorption	1/142	43/8790	0.0232558139534884	1.43956763838847	0.370242645127617	0.504415537879701	1	1	5319	1
