ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0005814	centriole	0/279	173/19556	0	0	-1.58936572006095	1	1	1		0
GO:0005818	aster	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005828	kinetochore microtubule	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0005832	chaperonin-containing T-complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005838	proteasome regulatory particle	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0005839	proteasome core complex	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0005840	ribosome	0/279	231/19556	0	0	-1.83932098908049	1	1	1		0
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005849	mRNA cleavage factor complex	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
GO:0005852	eukaryotic translation initiation factor 3 complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0005858	axonemal dynein complex	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005868	cytoplasmic dynein complex	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005871	kinesin complex	0/279	47/19556	0	0	-0.825738839737444	1	1	1		0
GO:0005875	microtubule associated complex	0/279	152/19556	0	0	-1.48897514782271	1	1	1		0
GO:0005876	spindle microtubule	0/279	83/19556	0	0	-1.09833267111305	1	1	1		0
GO:0005883	neurofilament	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005890	sodium:potassium-exchanging ATPase complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0005940	septin ring	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0005942	phosphatidylinositol 3-kinase complex	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0005952	cAMP-dependent protein kinase complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0008023	transcription elongation factor complex	0/279	51/19556	0	0	-0.860247459688104	1	1	1		0
GO:0008180	COP9 signalosome	0/279	35/19556	0	0	-0.712351395700709	1	1	1		0
GO:0008250	oligosaccharyltransferase complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0008278	cohesin complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0008305	integrin complex	0/279	30/19556	0	0	-0.659424794954258	1	1	1		0
GO:0008540	proteasome regulatory particle, base subcomplex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0010369	chromocenter	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0012510	trans-Golgi network transport vesicle membrane	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0014701	junctional sarcoplasmic reticulum membrane	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0015934	large ribosomal subunit	0/279	110/19556	0	0	-1.26529703389357	1	1	1		0
GO:0015935	small ribosomal subunit	0/279	68/19556	0	0	-0.993761366233198	1	1	1		0
GO:0016235	aggresome	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0016281	eukaryotic translation initiation factor 4F complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0016282	eukaryotic 43S preinitiation complex	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0016327	apicolateral plasma membrane	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0016363	nuclear matrix	0/279	129/19556	0	0	-1.37089209816672	1	1	1		0
GO:0016442	RISC complex	0/279	399/19556	0	0	-2.42791784035109	1	1	1		0
GO:0016469	proton-transporting two-sector ATPase complex	0/279	50/19556	0	0	-0.851750074694942	1	1	1		0
GO:0016471	vacuolar proton-transporting V-type ATPase complex	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0016514	SWI/SNF complex	0/279	26/19556	0	0	-0.613828205481441	1	1	1		0
GO:0016581	NuRD complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0016591	RNA polymerase II, holoenzyme	0/279	82/19556	0	0	-1.09166812922846	1	1	1		0
GO:0016592	mediator complex	0/279	38/19556	0	0	-0.742310202373307	1	1	1		0
GO:0017053	transcription repressor complex	0/279	66/19556	0	0	-0.978987927556231	1	1	1		0
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0017119	Golgi transport complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0019005	SCF ubiquitin ligase complex	0/279	65/19556	0	0	-0.971518121213461	1	1	1		0
GO:0019774	proteasome core complex, beta-subunit complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0019814	immunoglobulin complex	0/279	168/19556	0	0	-1.56602764164274	1	1	1		0
GO:0019908	nuclear cyclin-dependent protein kinase holoenzyme complex	0/279	24/19556	0	0	-0.589716869120204	1	1	1		0
GO:0022624	proteasome accessory complex	0/279	25/19556	0	0	-0.6018926672479	1	1	1		0
GO:0022625	cytosolic large ribosomal subunit	0/279	56/19556	0	0	-0.901546218148226	1	1	1		0
GO:0022626	cytosolic ribosome	0/279	117/19556	0	0	-1.30517052994454	1	1	1		0
