from	to	score
FGF4	ALX4	0.000477
FGF4	ACAN	0.000477
FGF4	VWF	0.000478
FGF4	WNT5A	0.000479
FGF4	VCAM1	0.000479
FGF4	THBS1	0.00048
FGF4	HNF4A	0.00048
FGF4	FGF18	0.000482
FGF4	CYP7A1	0.000486
FGF4	OTX2	0.000493
FGF4	S100A13	0.000494
FGF4	PLAT	0.000496
FGF4	PTPRZ1	0.000496
FGF4	WNT1	0.000498
FGF4	EDN1	0.000499
FGF4	CDH5	0.000502
FGF4	VTN	0.000504
FGF4	BGLAP	0.000511
FGF4	FGF22	0.000511
FGF4	RPS27A	0.000514
FGF4	UBA52	0.000517
FGF4	WNT6	0.000518
FGF4	FGF20	0.000518
FGF4	VEGFD	0.00052
FGF4	GLI1	0.000521
FGF4	IRS1	0.000526
FGF4	ANGPT2	0.00053
FGF4	FGF5	0.000533
FGF4	FGF7	0.000533
FGF4	IHH	0.000537
FGF4	NDST1	0.000541
FGF4	ENG	0.000543
FGF4	FGF17	0.000543
FGF4	DKK1	0.000544
FGF4	FGF2	0.000547
FGF4	PXDN	0.000551
FGF4	PXDNL	0.000551
FGF4	NID1	0.000555
FGF4	PTX3	0.000556
FGF4	FGF16	0.000562
FGF4	FGF9	0.000562
FGF4	RUNX2	0.000563
FGF4	PLG	0.00057
FGF4	FGF10	0.000573
FGF4	VEGFC	0.000574
FGF4	APOE	0.000577
FGF4	SERPINC1	0.000582
FGF4	IL10	0.000584
FGF4	CCN2	0.000585
FGF4	IL1A	0.000588
FGF4	TGFA	0.000588
FGF4	CALML4	0.000592
FGF4	SOX9	0.000592
FGF4	CALML3	0.000592
FGF4	CALML5	0.000592
FGF4	ANGPT1	0.000593
FGF4	GLI3	0.000594
FGF4	GAPDH	0.000596
FGF4	ADIPOQ	0.000596
FGF4	NOG	0.000596
FGF4	MMP9	0.000599
FGF4	CALML6	0.000599
FGF4	BMP7	6e-04
FGF4	CCL2	0.000603
FGF4	FGF3	0.000607
FGF4	PGF	0.000611
FGF4	CD34	0.000613
FGF4	WNT3A	0.000621
