Gene	Degree	Betweenness	Closeness	PageRank	Eigenvector	Status	logFC	Composite_Score
CYP24A1	3	0.00994919787736334	0.14859437751004	0.00481402085350856	3.10130489357549e-05	Upregulated	0.537986902091353	0.0988905120950608
TRIM58	3	0.00897429644442277	0.145669291338583	0.00467354621272982	4.53242657759666e-05	Downregulated	-0.517992780379882	0.0952665575079676
DPP6	2	0.0260249371172163	0.186304128902316	0.00369807302476535	0.00205789892182018	Downregulated	-0.519746268541397	0.0948581402418415
NEIL3	3	2.4386675120714e-05	0.152263374485597	0.00521371132449387	0.000380116910784601	Upregulated	0.526589724029306	0.0942136213399092
RXRG	2	0.0245640929870067	0.221822541966427	0.00313692614505304	0.00166906037695381	Downregulated	-0.531061821856667	0.0933768036395628
SP8	2	0.0229132382463602	0.232997481108312	0.00294783903072985	0.00489473116767899	Upregulated	0.604187620402969	0.0920931539808356
HOXC11	3	2.4386675120714e-05	0.160450997398092	0.00485103227393972	0.000337871949872771	Upregulated	0.621800428334407	0.0910902005523369
SCARA5	2	0.0178510461883627	0.161854768153981	0.00417873788211416	0.0115107361491684	Downregulated	-0.518408428699681	0.0888447701250596
CA4	3	0.00433427452622635	0.151143790849673	0.00445105705397239	3.13736747520741e-05	Downregulated	-0.733742954620998	0.0883216898822979
CA9	3	0.00433427452622635	0.151143790849673	0.00445105705396909	3.13736747520754e-05	Upregulated	0.640856659421313	0.0883216898822532
NETO1	2	0.00897429644442277	0.206473214285714	0.00389795700783814	0.0135168300268089	Upregulated	0.619282366984044	0.0854477380956744
POU4F1	2	0.0185882901070922	0.204419889502762	0.00328096196350712	0.00296004387965888	Upregulated	0.510212238900491	0.0851486046403241
MMP11	3	0	0.203969128996692	0.00340584149061157	0.00610845716861982	Upregulated	0.516344572414545	0.0822032655441969
CLEC4M	2	0.00897429644442277	0.139622641509434	0.00490999251279404	0.00162100076090564	Downregulated	-0.625838671353357	0.0820718001466084
ANGPTL7	2	0.00897429644442277	0.171933085501859	0.00438346719769773	0.000220773858358491	Downregulated	-0.711094179536077	0.0817665952164005
ADGRF4	2	0.00897429644442277	0.144305772230889	0.00440101857674239	0.018043788238898	Upregulated	0.55106332378169	0.0794860535687344
MYH2	2	0.00805773751196372	0.217136150234742	0.00347393404703972	0.00318608242832318	Downregulated	-0.597749357206647	0.0789663784644895
NR0B2	2	0.00897429644442277	0.138059701492537	0.0045663486334134	2.2779951747871e-05	Downregulated	-0.527759520511543	0.0767483602333799
CLEC3B	2	0.0114767053763786	0.193514644351464	0.00326080598389868	0.0118814119113721	Downregulated	-0.508805183508468	0.076394876992714
HBA2	3	0	0.145554681353265	0.0040141737115912	6.54031558103695e-05	Downregulated	-0.502870407010579	0.0763813569693275
RBP2	2	0.00786038947448612	0.202407002188184	0.00352974033488422	0.00106678798656318	Downregulated	-0.590804661484441	0.0758378691459737
HOXB13	2	0.00897429644442277	0.138784696174044	0.00434433751610034	4.84082605493889e-05	Upregulated	0.59427738977	0.0739027466285
NRG3	2	0.00667107648890803	0.228113440197287	0.00294397933492287	0.00426762455418941	Downregulated	-0.52911757622792	0.0728804975784445
GABRA3	2	0.00334016160236713	0.207865168539326	0.00308532154497317	0.0136642260304309	Upregulated	0.767358767813627	0.0685348755688712
CHIA	2	0.00536262985904502	0.201305767138194	0.00309671036603158	0.00103776961442936	Downregulated	-0.514532663306424	0.0669560378171719
ADCY8	2	0.0017201385866947	0.226438188494492	0.00282990019012851	0.00400809943119859	Downregulated	-0.72202573018412	0.0654384451756609
TNNC1	2	4.87733502414281e-05	0.180487804878049	0.00369381357077635	0.000542147917974938	Downregulated	-0.536861629999215	0.0644938458885176
OTX1	2	0.00310292410716739	0.203073545554336	0.00303991574428999	0.00236704576936096	Upregulated	0.53041143641349	0.0643423896165946
ANKRD1	2	0.000867785582217616	0.185929648241206	0.00348728819561531	0.000738604361532441	Downregulated	-0.673400865763072	0.0638365687194534
LHX5	2	0.00100008593399804	0.179090029041626	0.0035180240092881	0.00104717292669227	Upregulated	0.520545574077453	0.0629553505284762
SGCG	2	0	0.192909280500521	0.00302832162084306	0.00138136152797435	Downregulated	-0.574610600279788	0.0583190104002262
H2BC9	2	0	0.152138157894737	0.00361671866653927	0.000338974905079257	Upregulated	0.57841713315882	0.0571117272802187
CDC25C	2	0	0.152138157894737	0.00361671866653927	0.000338974905079244	Upregulated	0.510236233311192	0.0571117272802187
C1orf87	2	0	0.100707675557975	0.00444979335338197	2.28793317808719e-08	Downregulated	-0.628646094535826	0.0570158153669564
LY6D	1	0	0.172574626865672	0.00152622345647096	0.138137881314818	Upregulated	0.617754209392223	0.0454405164719026
TRPM8	1	0	0.216374269005848	0.00190406327946248	0.00311119126357486	Upregulated	0.543110489315721	0.0332025649664805
PNCK	1	0	0.216374269005848	0.00190406327946248	0.00311119126357486	Upregulated	0.508687549381717	0.0332025649664805
CASKIN1	1	0	0.216374269005848	0.00190406327946248	0.00311119126357485	Upregulated	0.50118963214196	0.0332025649664805
PTPN5	1	0	0.206013363028953	0.00186482003875557	0.0132589008725566	Downregulated	-0.535481315606297	0.0324186647567108
VEGFD	1	0	0.222088835534214	0.00172347782870725	0.00386229939631518	Downregulated	-0.586334177335846	0.0321623923593096
HMGCS2	1	0	0.209276018099548	0.00187684968703782	0.000787650726448756	Downregulated	-0.54691365547468	0.030805920738308
NTNG1	1	0	0.171296296296296	0.00239192584597949	0.00186718626199589	Downregulated	-0.513397782076093	0.0296434491977054
HOXA10	1	0	0.211670480549199	0.001729350891224	0.0018716455560721	Upregulated	0.546908878658071	0.0295499271424922
IL22RA2	1	0	0.2026286966046	0.00169554251089959	0.00764783672442404	Upregulated	0.518378455736498	0.0282558690767874
RDM1	1	0	0.14859437751004	0.00163138990722916	0.0700400287935614	Upregulated	0.553951624706039	0.027966853620749
RSPO2	1	0	0.190918472652219	0.00194517407160779	0.0006753708080558	Downregulated	-0.604195424497049	0.0276678480877031
MCEMP1	1	0	0.195974576271186	0.00184807056538858	0.00085939528226954	Downregulated	-0.579530034752622	0.0275012530227272
LGI3	1	0	0.201525054466231	0.00171972779708388	0.00120062886561951	Downregulated	-0.63519046124431	0.0270513633075266
ITLN2	1	0	0.185	0.00199576551575767	0.000259989960611917	Downregulated	-0.821958925171051	0.0269676077379517
GPIHBP1	1	0	0.178055822906641	0.00210699191483063	0.000171679593344641	Downregulated	-0.562777238363299	0.0269291194262383
PPP2R2C	1	0	0.188968335035751	0.00190485900508041	0.000683028144424426	Upregulated	0.547841320753191	0.0266933330774319
ANGPTL5	1	0	0.146825396825397	0.00259826767667038	3.04972330433318e-05	Downregulated	-0.516376425149286	0.0266858784206397
TMPRSS11A	1	0	0.15893470790378	0.00171818474033595	0.0460622648870694	Upregulated	0.526930569928919	0.0266249910912073
FOLR3	1	0	0.180311890838207	0.00201666453031395	0.00119803193969027	Downregulated	-0.577669305522869	0.026406343924481
DMRTA2	1	0	0.182806324110672	0.00195965531967317	0.00103243177136385	Upregulated	0.61008422545539	0.0261494422127923
AWAT2	1	0	0.18444666001994	0.00190878764599995	0.000431447098084429	Downregulated	-0.512746082906354	0.0257006802805799
ZIC5	1	0	0.178399228543877	0.00199537057566405	0.000881409650505084	Upregulated	0.583062051827668	0.0256331423768792
IL1RAPL2	1	0	0.175688509021842	0.00196691769127241	0.0055475430592325	Upregulated	0.559806151510715	0.0255836994269834
AKR1B15	1	0	0.159620362381363	0.00228523078891213	8.31282338642672e-05	Upregulated	0.681268431518549	0.0252690285901034
MIOX	1	0	0.159620362381363	0.00228523078891213	8.31282338642604e-05	Upregulated	0.518003664593834	0.0252690285901034
LHFPL3	1	0	0.139622641509434	0.00258332603574134	6.80059915532867e-06	Downregulated	-0.573941846247898	0.024892594854112
CDH19	1	0	0.139622641509434	0.00258332603574134	6.80059915531139e-06	Downregulated	-0.545155044897309	0.024892594854112
USH1G	1	0	0.139622641509434	0.00258332603574134	6.8005991553129e-06	Upregulated	0.597866585545549	0.024892594854112
CD5L	1	0	0.12259774685222	0.00282204093558519	0.00022392161072121	Downregulated	-0.754414877457013	0.0244242527926415
CMTM5	1	0	0.180840664711632	0.00184619831045578	0.000717648331190215	Downregulated	-0.502432334460789	0.0241152489773735
CCDC141	1	0	0.155201342281879	0.00225794755127281	0.000165763276187196	Downregulated	-0.500832120034536	0.0239426028628964
GUCA2A	1	0	0.171773444753946	0.00198393391829357	0.000178374332159824	Downregulated	-0.623436130637848	0.0238785578577429
DMBX1	1	0	0.18389662027833	0.00176547158715344	0.000511091781332402	Upregulated	0.686191688669734	0.0236521960664086
ODAM	1	0	0.182625863770977	0.00173594979802297	0.0011436121457813	Downregulated	-0.608962062465578	0.0230985955915613
PLA2G1B	1	0	0.155592935239697	0.00218872127426228	0.000154329723178192	Downregulated	-0.644205550907892	0.0230878615354062
FAM107A	1	0	0.138473053892216	0.00246695101892611	4.36032865473266e-05	Downregulated	-0.509333716740013	0.0230688391153045
UPK3B	1	0	0.138473053892216	0.00246695101892611	4.36032865473176e-05	Downregulated	-0.511285346596541	0.0230688391153045
ADGRA1	1	0	0.126193724420191	0.0026057270127633	0.0024925306782146	Downregulated	-0.504153522453223	0.0227366355461
TMEM132C	1	0	0.163861824623561	0.00202402733821246	9.17206255563273e-05	Downregulated	-0.658227704825042	0.0226628522192737
MUCL3	1	0	0.157849829351536	0.00210686367920351	7.63643547573132e-05	Downregulated	-0.51445558875452	0.0224592510032013
C8B	1	0	0.162708883025506	0.00202668361335988	0.000135372722154437	Downregulated	-0.744596740350811	0.022453739546238
ONECUT1	1	0	0.121391076115486	0.00267599228684887	3.14677427090169e-06	Upregulated	0.587979922919978	0.0221340513477363
SH3GL2	1	0	0.138784696174044	0.0023834758853718	1.93301372872904e-05	Downregulated	-0.635393314248983	0.0220007176962285
HOXB9	1	0	0.121951219512195	0.00258163756199085	6.68701455043387e-06	Upregulated	0.621104537941489	0.0209786864989016
OR2W3	1	0	0.127235213204952	0.00205946554458798	6.26099804643984e-06	Downregulated	-0.557483216550878	0.0150616383820875
OVCH1	1	0	0.0916749256689792	0.00263171290903441	3.32788904367906e-09	Downregulated	-0.65766246506372	0.0149899487806221
TMEM212	1	0	0.0916749256689792	0.00263171290903441	3.32788905248964e-09	Downregulated	-0.539876707224553	0.0149899487806221
ANKRD66	1	0	0.0916749256689792	0.00263171290903441	3.3278890533924e-09	Downregulated	-0.532694155883362	0.0149899487806221
