category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Nucleotide metabolism	hsa00230	Purine metabolism	1/79	128/8790	0.0078125	0.869264240506329	-0.141886004883185	0.687786272330161	1	1	114	1
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	1/79	133/8790	0.0075187969924812	0.836585133720377	-0.180835189516322	0.701769508815426	1	1	2890	1
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	1/79	135/8790	0.00740740740740741	0.824191279887482	-0.196030221858903	0.707188027289691	1	1	732	1
Environmental Information Processing	Signaling molecules and interaction	hsa04519	Cadherin signaling	3/79	402/8790	0.00746268656716418	0.830341961080673	-0.331594660974661	0.707447231097962	1	1	65217/375612/28513	3
Human Diseases	Infectious disease: viral	hsa05162	Measles	1/79	136/8790	0.00735294117647059	0.81813104988831	-0.203548937373012	0.709860718895019	1	1	10332	1
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	1/79	138/8790	0.0072463768115942	0.806274078150798	-0.218433022383927	0.715134048172811	1	1	114	1
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	1/79	138/8790	0.0072463768115942	0.806274078150798	-0.218433022383927	0.715134048172811	1	1	114	1
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	1/79	139/8790	0.00719424460431655	0.800473545214461	-0.225800033044901	0.717735112689032	1	1	114	1
Human Diseases	Cardiovascular disease	hsa05418	Fluid shear stress and atherosclerosis	1/79	141/8790	0.00709219858156028	0.789119310530568	-0.240387948756071	0.722867094560917	1	1	859	1
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	1/79	142/8790	0.00704225352112676	0.783562132287395	-0.24761038159794	0.725398427608632	1	1	125	1
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	1/79	144/8790	0.00694444444444444	0.772679324894515	-0.261915884857571	0.730392803494812	1	1	2890	1
