Gene	Degree	Betweenness	Closeness	Eigenvector	Rank
OTX1	2	57	0.00208497959847463	0.000457044331151916	128
CHIA	2	165	0.00217297771828648	0.000135977095165628	129
GABRA3	2	37	0.00208269550783406	0.00505462586581405	130
C1orf87	2	0	0.0011372708683518	3.26078597936497e-10	131
NRG3	2	200	0.00237764066716597	0.000786211739928511	132
TRIM71	2	0	1.05932203389831	3.1368333435637e-17	133
ANGPTL7	2	184	0.00164856270060947	5.12920525991877e-05	134
ADGB	2	1246	0.0015725396830389	2.96598020418824e-07	135
ANKRD1	2	22	0.00176074937493397	0.000223864843386233	136
MYH2	2	161	0.00230422710462343	0.000743312578480828	137
H2BC9	2	0	0.0014537081186691	8.56122803577518e-05	138
SP8	2	221	0.00231339036611716	0.00103334154495154	139
DPP6	2	492	0.00187489219369886	0.000678930366769379	140
GJB6	2	2076	0.00203488608707685	3.2317311402442e-05	141
HMGA2	2	0	0.792393026941363	3.0546397642189e-17	142
POU4F1	2	446	0.00220211931963321	0.000487585302001956	143
MAGEA3	2	0	0.364431486880466	3.3910855631879e-17	144
OTC	1	0	2.40963855421687	1.35414729477179e-17	145
MIOX	1	0	0.00157995105311638	1.62496862121408e-05	146
CST4	1	0	1.07642626480086	3.59293836787716e-17	147
CDH19	1	0	0.00155003193065777	3.06153780662305e-07	148
ZIC5	1	0	0.001821536757701	0.000166366284625466	149
RSPO2	1	0	0.0017854879113541	0.000165527580229595	150
HOXA10	1	0	0.00224239380022962	0.000275248113464213	151
LY6D	1	0	0.00187243125836743	0.0956571255158682	152
LGI3	1	0	0.00198482009590651	0.000214972678883292	153
PLA2G1B	1	0	0.00149355828312488	5.40126069898609e-05	154
OVCH1	1	0	0.00101815679003672	3.79173685431479e-11	155
TMEM212	1	0	0.000994677480800238	4.85578883175723e-11	156
ANGPTL5	1	0	0.00144400787273092	5.04272143807333e-06	157
GUCA2A	1	0	0.0017218638832163	3.66762073464286e-05	158
PTPN5	1	0	0.00206374495414359	0.00483754744574665	159
OR2W3	1	0	0.00120611985212971	1.26177678791443e-06	160
OR6K3	1	0	2.23713646532438	1.64804286922223e-17	161
ZYG11A	1	0	0.29673590504451	2.7123509897984e-17	162
PADI3	1	0	2.29357798165138	2.10501979829425e-17	163
CCDC141	1	0	0.00166016986858095	1.5699344714215e-05	164
ARSH	1	0	2.40963855421687	1.94990667411315e-17	165
C8B	1	0	0.00151998784009728	4.03491185100753e-05	166
CST1	1	0	1.07642626480086	3.14378523916481e-17	167
MCEMP1	1	0	0.00202751335624424	0.000135775980127239	168
IL22RA2	1	0	0.00195307541019466	0.0031880613383944	169
ODAM	1	0	0.00189914766252906	0.000257210061874349	170
FOLR3	1	0	0.00196462110317404	0.000226938035467428	171
RDM1	1	0	0.00168557033800742	0.0314414618397383	172
ONECUT1	1	0	0.0011353160492818	9.11419963456105e-07	173
SH3GL2	1	0	0.00142739892231381	2.13834806522354e-06	174
HMGCS2	1	0	0.0023043120591563	9.60148619609838e-05	175
IL1RAPL2	1	0	0.00174683778689627	0.00318591557778237	176
VEGFD	1	0	0.00223538616295965	0.000811584331062962	177
FAM107A	1	0	0.00146743110044126	6.61668013778579e-06	178
UPK3B	1	0	0.00142960278486623	8.17167930685779e-06	179
ADGRA1	1	0	0.0013570196591438	0.000954561076870844	180
TMPRSS11A	1	0	0.00172470589452734	0.0211178308426503	181
HOXB9	1	0	0.0013768680657482	3.26671806949397e-07	182
WFDC12	1	0	0.539956803455724	1.75641952140393e-17	183
PGLYRP4	1	0	0.426985482493595	2.55755984163613e-17	184
DMBX1	1	0	0.00189437352120467	6.87073452789512e-05	185
GPIHBP1	1	0	0.00189051283941795	1.94404905937763e-05	186
CMTM5	1	0	0.00184294089135679	0.000135547744410021	187
AWAT2	1	0	0.00173524951152726	0.000129599517298284	188
NTNG1	1	0	0.00178570153070335	0.000436960710199322	189
TRPM8	1	0	0.00230795505949908	0.000707731091214168	190
CASKIN1	1	0	0.00228851804725332	0.000740802637532586	191
PNCK	1	0	0.0021810631374157	0.000934271183495341	192
CD5L	1	0	0.0013822330527861	2.79252099536686e-05	193
ITLN2	1	0	0.00177184956288471	5.4081504492526e-05	194
MUCL3	1	0	0.00161113876899331	9.82206538283249e-06	195
TMEM132C	1	0	0.00171266308834259	1.10722433131825e-05	196
AKR1B15	1	0	0.00168947742773683	1.18305642300526e-05	197
PPP2R2C	1	0	0.00170431788937273	0.000310799050622293	198
OR6N1	1	0	2.23713646532438	1.83396341373628e-17	199
DMRTA2	1	0	0.00201909661579216	0.000110681233124592	200
LHFPL3	1	0	0.00148117427496519	4.19312661038792e-07	201
USH1G	1	0	0.00134217378466164	6.83118639865556e-07	202
PADI1	1	0	2.29357798165138	1.34004655155327e-17	203
ANKRD66	1	0	0.00101020815339001	4.14642147319789e-11	204
